"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 02 18:19:43 GMT 2021","Mon Aug 02 18:19:44 GMT 2021","298","","alert.AlertTests","","alert.AlertTests","testAcceptAlert","testAcceptAlert()","Invalid Login Test with Invalid Username and Invalid Password."
"passed","Mon Aug 02 18:19:39 GMT 2021","Mon Aug 02 18:19:39 GMT 2021","563","","hover.HoverTest","","hover.HoverTest","testHoverUser1","testHoverUser1()",""
"passed","Mon Aug 02 18:19:43 GMT 2021","Mon Aug 02 18:19:43 GMT 2021","306","","alert.AlertTests","","alert.AlertTests","testSendTextToPromptAlert","testSendTextToPromptAlert()","Invalid Login Test with Invalid Username and Invalid Password."
"passed","Mon Aug 02 18:19:40 GMT 2021","Mon Aug 02 18:19:40 GMT 2021","504","","forgotpassword.ForgotPasswordTest","","forgotpassword.ForgotPasswordTest","testPasswordRecovering","testPasswordRecovering()",""
"passed","Mon Aug 02 18:19:37 GMT 2021","Mon Aug 02 18:19:37 GMT 2021","292","","keys.KeysTests","","keys.KeysTests","testBackspace","testBackspace()",""
"passed","Mon Aug 02 18:19:42 GMT 2021","Mon Aug 02 18:19:42 GMT 2021","549","","login.LoginTests","","login.LoginTests","testSuccesfullLogin","testSuccesfullLogin()",""
"passed","Mon Aug 02 18:19:43 GMT 2021","Mon Aug 02 18:19:43 GMT 2021","259","","alert.AlertTests","","alert.AlertTests","testGetTextFromAlert","testGetTextFromAlert()","Invalid Login Test with Invalid Username and Invalid Password."
"passed","Mon Aug 02 18:19:38 GMT 2021","Mon Aug 02 18:19:38 GMT 2021","391","","dropdown.DropdownTests","","dropdown.DropdownTests","testSelectOption","testSelectOption()",""
"passed","Mon Aug 02 18:19:41 GMT 2021","Mon Aug 02 18:19:41 GMT 2021","647","","slider.SliderTests","","slider.SliderTests","testSlideToValue_4","testSlideToValue_4()",""
"passed","Mon Aug 02 18:19:37 GMT 2021","Mon Aug 02 18:19:37 GMT 2021","405","","keys.KeysTests","","keys.KeysTests","testAtSign","testAtSign()",""
